Star ID,NGC,Paper,Author Reference,RAJ2000,DEJ2000,Distance (pc),neg_sigma_dist,pos_sigma_dist,Vmag,Vmag_abs,Bmag,Bmag_abs,Imag,Imag_abs,Kmag,Kmag_abs,Teff,logg,age_Kruijssen,Fe/H,Fe/H_e,Fe/H_o,O/Fe,O/Fe_e,Na/Fe,Na/Fe_e,F275W,F275W_abs,F275W_e,F336W,F336W_abs,F336W_e,F438W,F438W_abs,F438W_e,F606W,F606W_abs,F606W_e,F814W,F814W_abs,F814W_e
R0008371,362,Carretta,12164,15.7547,-70.83879167,8829,-96,96,14.576,-0.153557584,15.487,0.757442416,,,12.067,-2.662557584,4674.0,1.86,10.87,-1.21,,-1.23,0.05,,0.19,0.1,18.3886,3.659042416,0.0146,16.2363,1.506742416,0.0009,15.6211,0.891542416,0.0145,14.3237,-0.405857584,0.0,13.5136,-1.215957584,0.0
R0008483,362,Carretta,12181,15.73315833,-70.83826944,8829,-96,96,13.017,-1.712557584,14.336,-0.393557584,,,9.741,-4.988557584,4149.0,0.86,10.87,-1.148,,-1.23,0.32,0.02,0.02,0.04,,,,,,,,,,12.6824,-2.047157584,0.0,11.6247,-3.104857584,0.0
R0000710,362,Carretta,15834,15.84862917,-70.86715278,8829,-96,96,13.255,-1.474557584,14.488,-0.241557584,,,10.148,-4.581557584,4241.0,1.03,10.87,-1.174,,-1.23,-0.21,,0.33,0.08,18.7871,4.057542416,0.0115,16.065,1.335442416,0.0019,14.697,-0.032557584,0.0,12.9614,-1.768157584,0.0,11.9572,-2.772357584,0.0
R0001074,362,Carretta,16138,15.78714167,-70.86387222,8829,-96,96,13.413,-1.316557584,14.582,-0.147557584,,,10.38,-4.349557584,4293.0,1.13,10.87,-1.219,,-1.23,0.07,0.1,0.29,0.08,18.754,4.024442416,0.0049,16.0279,1.298342416,0.0028,14.7689,0.039342416,0.0,13.1339,-1.595657584,0.0,12.1729,-2.556657584,0.0
R0002032,362,Carretta,16669,15.86868333,-70.85825833,8829,-96,96,13.354,-1.375557584,14.54,-0.189557584,,,10.335,-4.394557584,4283.0,1.12,10.87,-1.213,,-1.23,0.05,,0.17,0.06,18.8621,4.132542416,0.0032,16.0149,1.285342416,0.0,,,,13.0849,-1.644657584,0.0,12.0997,-2.629857584,0.0
R0002070,362,Carretta,16683,15.89814583,-70.85806111,8829,-96,96,13.962,-0.767557584,14.991,0.261442416,,,11.24,-3.489557584,4487.0,1.51,10.87,-1.25,,-1.23,-0.12,0.04,0.28,0.03,,,,,,,,,,13.7144,-1.015157584,0.0,12.8198,-1.909757584,0.0
R0004247,362,Carretta,17382,15.88754167,-70.85103889,8829,-96,96,14.055,-0.674557584,15.166,0.436442416,,,11.279,-3.450557584,4496.0,1.52,10.87,-1.113,,-1.23,,,0.14,0.05,19.0908,4.361242416,0.0,16.3014,1.571842416,0.0,,,,13.8151,-0.914457584,0.0,12.889,-1.840557584,0.0
R0005090,362,Carretta,17633,15.89862917,-70.84896944,8829,-96,96,13.715,-1.014557584,14.816,0.086442416,,,10.861,-3.868557584,4402.0,1.34,10.87,-1.176,,-1.23,-0.07,,0.32,0.0,,,,,,,,,,13.476,-1.253557584,0.0,12.5484,-2.181157584,0.0
R0005537,362,Carretta,17744,15.89879167,-70.84787222,8829,-96,96,12.388,-2.341557584,13.994,-0.735557584,,,8.7,-6.029557584,3914.0,0.42,10.87,-1.166,,-1.23,,,0.43,0.15,,,,,,,,,,12.3498,-2.379757584,0.0,10.963,-3.766557584,0.0
R0008453,362,Carretta,18721,15.89526667,-70.83839722,8829,-96,96,13.852,-0.877557584,14.953,0.223442416,,,11.079,-3.650557584,4451.0,1.44,10.87,-1.108,,-1.23,,,0.28,0.02,18.7844,4.054842416,0.0,,,,,,,13.6339,-1.095657584,0.0,12.7275,-2.002057584,0.0
R0009282,362,Carretta,19287,15.85507917,-70.83313056,8829,-96,96,12.72,-2.009557584,14.107,-0.622557584,,,9.502,-5.227557584,4095.0,0.77,10.87,-1.151,,-1.23,-0.16,0.08,0.41,0.01,19.2973,4.567742416,0.0087,16.4861,1.756542416,0.024,14.6349,-0.094657584,0.0,12.6971,-2.032457584,0.0,11.5386,-3.190957584,0.0
R0000316,1261,Marino,7,48.043875,-55.235389,16400,-190,192,,,,,,,,,,,10.83,-1.38,,-1.23,0.468827994,0.25,0.080981112,0.01,19.6708,3.59658076,0.0506,17.8815,1.80728076,0.0,17.3596,1.28538076,0.0,16.0011,-0.07311924,0.0,15.2365,-0.83771924,0.0
R0000823,1261,Marino,15,48.081667,-55.2285,16400,-190,192,,,,,,,,,,,10.83,-1.31,,-1.23,0.38586333,0.04,0.580943178,0.1,20.329,4.25478076,0.0284,17.3729,1.29868076,0.0,15.7468,-0.32741924,0.0,13.8499,-2.22431924,0.0,12.7971,-3.27711924,0.0
R0001228,1261,Marino,17,48.076042,-55.225278,16400,-190,192,,,,,,,,,,,10.83,-1.22,,-1.23,0.150877677,,0.740738732,0.1,19.745,3.67078076,0.0243,17.3872,1.31298076,0.0,16.4222,0.34798076,0.0,14.9394,-1.13481924,0.0,14.0659,-2.00831924,0.0
R0001494,1261,Marino,24,48.05675,-55.223556,16400,-190,192,,,,,,,,,,,10.83,-1.31,,-1.23,0.203178111,0.05,0.518283196,0.07,20.0482,3.97398076,0.0193,17.2277,1.15348076,0.0,15.7864,-0.28781924,0.0,14.0686,-2.00561924,0.0,13.0726,-3.00161924,0.0
R0006006,1261,Marino,36,48.089167,-55.206806,16400,-190,192,,,,,,,,,,,10.83,-1.28,,-1.23,0.474046419,0.07,0.553593108,0.11,20.029,3.95478076,0.0335,17.2148,1.14058076,0.0,15.9171,-0.15711924,0.0,14.2637,-1.81051924,0.0,13.2842,-2.79001924,0.0
R0006119,1261,Marino,49,48.064333,-55.205917,16400,-190,192,,,,,,,,,,,10.83,-1.33,,-1.23,0.515793862,0.02,0.091632944,0.07,20.3617,4.28748076,0.057,17.2339,1.15968076,0.0,15.6684,-0.40581924,0.0,13.793,-2.28121924,0.0,12.7359,-3.33831924,0.0
R0004442,1261,Marino,52,48.04075,-55.213861,16400,-190,192,,,,,,,,,,,10.83,-1.21,,-1.23,0.079987489,,0.776751015,0.11,19.6461,3.57188076,0.016,17.3855,1.31128076,0.0,16.5256,0.45138076,0.0,15.1296,-0.94461924,0.0,14.2753,-1.79891924,0.0
R0006599,1261,Marino,54,48.09525,-55.201222,16400,-190,192,,,,,,,,,,,10.83,-1.32,,-1.23,,,0.61469582,0.11,19.4311,3.35688076,0.0158,17.6332,1.55898076,0.0,17.1583,1.08408076,0.0,16.0019,-0.07231924,0.0,15.2254,-0.84881924,0.0
R0000088,1851,Carretta,24599,78.5204375,-40.07741389,11951,-133,134,16.265,0.877978768,17.098,1.710978768,,,,,,,10.49,,,-1.1,0.05,,0.5,,,,,,,,,,,16.023,0.635978768,0.0,15.2832,-0.103821232,0.0
R0000229,1851,Carretta,25678,78.51726667,-40.07271667,11951,-133,134,16.94,1.552978768,17.713,2.325978768,,,,,,,10.49,,,-1.1,,,0.27,,19.5291,4.142078768,0.0184,17.9634,2.576378768,0.0038,17.7701,2.383078768,0.0,16.7042,1.317178768,0.0,15.9844,0.597378768,0.0
R0000257,1851,Carretta,25859,78.54475417,-40.07193611,11951,-133,134,14.252,-1.135021232,15.421,0.033978768,,,,,,,10.49,,,-1.1,0.23,,-0.06,,,,,,,,,,,14.0074,-1.379621232,0.0,13.0467,-2.340321232,0.0
R0000333,1851,Carretta,26271,78.50185417,-40.07043056,11951,-133,134,13.422,-1.965021232,14.951,-0.436021232,,,,,,,10.49,,,-1.1,0.26,,0.07,,,,,,,,,,,13.0089,-2.378121232,0.0,11.8148,-3.572221232,0.0
R0000395,1851,Carretta,26532,78.54722917,-40.06928611,11951,-133,134,16.472,1.084978768,17.293,1.905978768,,,,,,,10.49,,,-1.1,-0.06,,0.65,,,,,,,,,,,16.2169,0.829878768,0.0,15.4712,0.084178768,0.0
R0000674,1851,Carretta,27491,78.5073375,-40.06595556,11951,-133,134,16.685,1.297978768,17.499,2.111978768,,,,,,,10.49,,,-1.1,-0.03,,0.2,,19.4275,4.040478768,0.0064,17.7974,2.410378768,0.0112,17.5405,2.153478768,0.0,16.4361,1.049078768,0.0,15.687,0.299978768,0.0
R0000813,1851,Carretta,27864,78.5334375,-40.06466667,11951,-133,134,15.704,0.316978768,16.564,1.176978768,,,,,,,10.49,,,-1.1,0.0,,0.27,,19.2811,3.894078768,0.0191,17.3744,1.987378768,0.0129,16.8619,1.474878768,0.001,15.4547,0.067678768,0.0,14.6624,-0.724621232,0.0
R0000908,1851,Carretta,28116,78.51917917,-40.06381944,11951,-133,134,16.2,0.812978768,17.04,1.652978768,,,,,,,10.49,,,-1.1,,,0.01,,19.2751,3.888078768,0.0094,17.4633,2.076278768,0.0158,17.1138,1.726778768,0.0044,15.951,0.563978768,0.0,15.195,-0.192021232,0.0
R0001325,1851,Carretta,28913,78.50086667,-40.06108056,11951,-133,134,15.633,0.245978768,16.55,1.162978768,,,,,,,10.49,,,-1.1,0.02,,0.15,,19.1798,3.792778768,0.0683,17.1474,1.760378768,0.0,16.6321,1.245078768,0.0,15.3712,-0.015821232,0.0,14.5605,-0.826521232,0.0
