age_Kruijssen,Fe/H,O/Fe,F275W,F275W_abs,F336W,F336W_abs,F435W,F435W_abs,F606W,F606W_abs,F814W,F814W_abs
11.25,-1.454,-0.344999999,17.8786,4.501083076,15.8682,2.490683076,15.1922,1.814683076,13.7234,0.345883076,12.7207,-0.656816924
11.25,-1.562,0.194841231,17.7312,4.353683076,15.9554,2.577883076,15.6422,2.264683076,14.3376,0.960083076,13.4016,0.024083076
11.25,-1.44,0.079000004,18.0557,4.678183076,15.6132,2.235683076,14.6604,1.282883076,12.9976,-0.379916924,11.9138,-1.463716924
11.25,-1.461,-0.783999979,18.1512,4.773683076,16.3061,2.928583076,15.7637,2.386183076,14.3593,0.981783076,13.3764,-0.001116924
11.25,-1.397,0.156055756,18.6894,5.311883076,16.8584,3.480883076,16.5735,3.195983076,15.2149,1.837383076,14.2718,0.894283076
12.17,-2.305,0.361,17.6106,2.524598282,15.8052,0.719198282,15.4328,0.346798282,14.222,-0.864001718,13.3706,-1.715401718
12.17,-2.273,0.244,17.6948,2.608798282,16.2345,1.148498282,16.0385,0.952498282,14.9555,-0.130501718,14.1592,-0.926801718
12.17,-2.187,0.218,17.82,2.733998282,16.6176,1.531598282,16.5318,1.445798282,15.5019,0.415898282,14.744,-0.342001718
12.17,-2.237,0.04,17.6037,2.517698282,16.0746,0.988598282,15.8165,0.730498282,14.7047,-0.381301718,13.8989,-1.187101718
12.17,-2.264,0.388,17.5341,2.448098282,15.7872,0.701198282,15.3674,0.281398282,14.1883,-0.897701718,13.3433,-1.742701718
12.17,-2.229,0.348,17.9772,2.891198282,16.791,1.704998282,16.7568,1.670798282,15.7717,0.685698282,15.0233,-0.062701718
12.17,-2.181,0.45,17.59,2.503998282,15.9916,0.905598282,15.7096,0.623598282,14.5927,-0.493301718,13.7767,-1.309301718
12.17,-2.269,0.557,17.6656,2.579598282,16.2172,1.131198282,16.029,0.942998282,14.9298,-0.156201718,14.1456,-0.940401718
12.17,-2.304,0.299,17.8429,2.756898282,16.4915,1.405498282,16.4451,1.359098282,15.422,0.335998282,14.6653,-0.420701718
12.17,-2.249,0.269,17.6308,2.544798282,15.7483,0.662298282,15.3361,0.250098282,14.0997,-0.986301718,13.2493,-1.836701718
12.17,-2.123,0.174,17.9045,2.818498282,16.5114,1.425398282,16.4572,1.371198282,15.4117,0.325698282,14.6439,-0.442101718
12.17,-2.176,0.085,17.5447,2.458698282,15.9307,0.844698282,15.5988,0.512798282,14.4664,-0.619601718,13.6419,-1.444101718
12.17,-2.214,0.175,17.6704,2.584398282,16.1861,1.100098282,16.0002,0.914198282,14.903,-0.183001718,14.1116,-0.974401718
12.17,-2.235,0.006,17.6406,2.554598282,16.1546,1.068598282,15.9635,0.877498282,14.8558,-0.230201718,14.0656,-1.020401718
12.17,-2.304,0.475,17.6608,2.574798282,16.1662,1.080198282,16.0184,0.932398282,14.8978,-0.188201718,14.1021,-0.983901718
12.17,-2.244,0.531,17.6042,2.518198282,15.8955,0.809498282,15.6042,0.518198282,14.4548,-0.631201718,13.644,-1.442001718
12.17,-2.211,0.574,17.7659,2.679898282,16.4437,1.357698282,16.3079,1.221898282,15.2776,0.191598282,14.5082,-0.577801718
12.17,-2.305,0.361000001,17.6106,2.524598282,15.8052,0.719198282,15.4328,0.346798282,14.222,-0.864001718,13.3706,-1.715401718
12.17,-2.273,0.199792566,17.6948,2.608798282,16.2345,1.148498282,16.0385,0.952498282,14.9555,-0.130501718,14.1592,-0.926801718
12.17,-2.187,0.178336767,17.82,2.733998282,16.6176,1.531598282,16.5318,1.445798282,15.5019,0.415898282,14.744,-0.342001718
